,Date,Team_Home,Team_Away,Goals_Home,Goals_Away,Odds_Home_Average,Odds_Draw_Average,Odds_Away_Average,Odds_Home_Bet365,Odds_Draw_Bet365,Odds_Away_Bet365,Odds_Home_bet-at-home,Odds_Draw_bet-at-home,Odds_Away_bet-at-home,Odds_Home_Betano,Odds_Draw_Betano,Odds_Away_Betano,Odds_Home_Bwin,Odds_Draw_Bwin,Odds_Away_Bwin,Upcoming
14.9.2024_B. Monchengladbach_Stuttgart_1_3,14.9.2024,B. Monchengladbach,Stuttgart,1,3,2.67,3.76,2.44,,,,2.7,3.85,2.45,2.65,3.75,2.47,2.65,3.75,2.4,False
14.9.2024_Freiburg_Bochum_2_1,14.9.2024,Freiburg,Bochum,2,1,1.57,4.22,5.49,,,,1.55,4.3,5.5,1.57,4.2,5.6,1.6,4.2,5.25,False
14.9.2024_Hoffenheim_Bayer Leverkusen_1_4,14.9.2024,Hoffenheim,Bayer Leverkusen,1,4,6.45,5.14,1.42,,,,6.75,5.25,1.4,6.8,5.0,1.42,6.25,5.25,1.42,False
14.9.2024_RB Leipzig_Union Berlin_0_0,14.9.2024,RB Leipzig,Union Berlin,0,0,1.45,4.63,6.6,,,,1.43,4.8,6.75,1.47,4.6,6.6,1.47,4.6,6.25,False
14.9.2024_Wolfsburg_Eintracht Frankfurt_1_2,14.9.2024,Wolfsburg,Eintracht Frankfurt,1,2,2.76,3.31,2.55,,,,2.8,3.25,2.6,2.75,3.35,2.57,2.75,3.3,2.5,False
13.9.2024_Dortmund_Heidenheim_4_2,13.9.2024,Dortmund,Heidenheim,4,2,1.35,5.46,7.95,,,,1.35,5.5,8.0,1.38,5.4,7.2,1.34,5.5,8.0,False
1.9.2024_Bayern Munich_Freiburg_2_0,1.9.2024,Bayern Munich,Freiburg,2,0,1.21,7.28,12.13,,,,1.2,8.0,11.0,1.22,6.5,13.5,1.2,7.5,12.0,False
1.9.2024_Heidenheim_Augsburg_4_0,1.9.2024,Heidenheim,Augsburg,4,0,2.4,3.43,2.89,,,,2.4,3.5,2.85,2.37,3.4,3.0,2.45,3.4,2.8,False
31.8.2024_Bayer Leverkusen_RB Leipzig_2_3,31.8.2024,Bayer Leverkusen,RB Leipzig,2,3,1.65,4.27,4.68,,,,1.65,4.2,4.7,1.65,4.2,4.9,1.63,4.33,4.6,False
31.8.2024_Bochum_B. Monchengladbach_0_2,31.8.2024,Bochum,B. Monchengladbach,0,2,2.85,3.7,2.3,,,,2.85,3.8,2.25,2.87,3.65,2.35,2.8,3.7,2.3,False
31.8.2024_Eintracht Frankfurt_Hoffenheim_3_1,31.8.2024,Eintracht Frankfurt,Hoffenheim,3,1,1.66,4.29,4.56,,,,1.68,4.3,4.5,1.65,4.35,4.65,1.68,4.2,4.5,False
31.8.2024_Holstein Kiel_Wolfsburg_0_2,31.8.2024,Holstein Kiel,Wolfsburg,0,2,2.96,3.56,2.29,,,,2.95,3.55,2.3,3.0,3.55,2.3,2.9,3.6,2.3,False
31.8.2024_Stuttgart_Mainz_3_3,31.8.2024,Stuttgart,Mainz,3,3,1.65,4.16,4.85,,,,1.65,4.2,4.9,1.65,4.15,4.9,1.65,4.2,4.8,False
31.8.2024_Werder Bremen_Dortmund_0_0,31.8.2024,Werder Bremen,Dortmund,0,0,3.74,3.84,1.9,,,,3.75,3.8,1.9,3.7,3.85,1.93,3.75,3.75,1.9,False
30.8.2024_Union Berlin_St. Pauli_1_0,30.8.2024,Union Berlin,St. Pauli,1,0,1.97,3.3,4.1,,,,2.0,3.2,4.1,1.95,3.3,4.2,1.95,3.4,4.0,False
25.8.2024_St. Pauli_Heidenheim_0_2,25.8.2024,St. Pauli,Heidenheim,0,2,1.98,3.46,3.81,,,,1.95,3.5,3.8,1.98,3.45,3.95,2.0,3.5,3.7,False
25.8.2024_Wolfsburg_Bayern Munich_2_3,25.8.2024,Wolfsburg,Bayern Munich,2,3,6.24,4.65,1.48,,,,6.25,4.5,1.5,6.2,4.8,1.47,6.5,4.6,1.46,False
24.8.2024_Dortmund_Eintracht Frankfurt_2_0,24.8.2024,Dortmund,Eintracht Frankfurt,2,0,1.75,4.05,4.31,,,,1.8,4.0,4.3,1.72,4.05,4.5,1.75,4.0,4.2,False
24.8.2024_Augsburg_Werder Bremen_2_2,24.8.2024,Augsburg,Werder Bremen,2,2,2.48,3.53,2.7,,,,2.5,3.6,2.65,2.5,3.55,2.72,2.45,3.5,2.7,False
24.8.2024_Freiburg_Stuttgart_3_1,24.8.2024,Freiburg,Stuttgart,3,1,3.54,3.81,1.96,,,,3.45,3.9,1.95,3.55,3.85,1.95,3.5,3.7,2.0,False
24.8.2024_Hoffenheim_Holstein Kiel_3_2,24.8.2024,Hoffenheim,Holstein Kiel,3,2,1.6,4.51,4.85,,,,1.58,4.7,4.9,1.62,4.5,4.75,1.61,4.4,4.8,False
24.8.2024_Mainz_Union Berlin_1_1,24.8.2024,Mainz,Union Berlin,1,1,2.06,3.26,3.79,,,,2.05,3.2,3.85,2.07,3.3,3.8,2.05,3.3,3.7,False
24.8.2024_RB Leipzig_Bochum_1_0,24.8.2024,RB Leipzig,Bochum,1,0,1.21,6.76,12.5,,,,1.2,7.0,12.0,1.22,6.4,13.5,1.23,6.75,12.0,False
23.8.2024_B. Monchengladbach_Bayer Leverkusen_2_3,23.8.2024,B. Monchengladbach,Bayer Leverkusen,2,3,4.72,4.42,1.63,,,,4.5,4.4,1.65,4.6,4.65,1.62,4.75,4.33,1.63,False
3.11.2024_Freiburg_Mainz_0_0,3.11.2024,Freiburg,Mainz,0,0,1.76,3.7,4.65,1.69,3.8,4.75,1.75,3.7,4.8,1.75,3.7,4.85,1.8,3.7,4.33,False
2.11.2024_Dortmund_RB Leipzig_2_1,2.11.2024,Dortmund,RB Leipzig,2,1,2.17,3.76,3.09,2.15,3.8,3.1,2.2,3.75,3.1,2.22,3.7,3.05,2.15,3.75,3.1,False
2.11.2024_Bayern Munich_Union Berlin_3_0,2.11.2024,Bayern Munich,Union Berlin,3,0,1.15,8.1,17.1,1.11,9.0,15.0,1.14,8.5,19.0,1.17,7.1,18.0,1.15,8.5,17.5,False
2.11.2024_Eintracht Frankfurt_Bochum_7_2,2.11.2024,Eintracht Frankfurt,Bochum,7,2,1.45,4.94,6.16,1.42,5.25,5.5,1.45,4.9,6.5,1.47,4.75,6.4,1.47,4.8,6.0,False
2.11.2024_Hoffenheim_St. Pauli_0_2,2.11.2024,Hoffenheim,St. Pauli,0,2,1.89,3.73,3.9,1.87,3.7,3.9,1.88,3.8,4.0,1.88,3.75,4.0,1.93,3.7,3.7,False
2.11.2024_Holstein Kiel_Heidenheim_1_0,2.11.2024,Holstein Kiel,Heidenheim,1,0,2.46,3.4,2.83,2.37,3.5,2.87,2.5,3.35,2.85,2.5,3.35,2.85,2.45,3.4,2.8,False
2.11.2024_Wolfsburg_Augsburg_1_1,2.11.2024,Wolfsburg,Augsburg,1,1,2.06,3.52,3.53,2.05,3.6,3.4,2.05,3.55,3.65,2.07,3.45,3.6,2.1,3.5,3.4,False
1.11.2024_Bayer Leverkusen_Stuttgart_0_0,1.11.2024,Bayer Leverkusen,Stuttgart,0,0,1.6,4.48,4.85,1.58,4.5,4.75,1.6,4.5,5.0,1.6,4.5,4.9,1.6,4.5,4.8,False
27.10.2024_Heidenheim_Hoffenheim_0_0,27.10.2024,Heidenheim,Hoffenheim,0,0,2.72,3.42,2.54,2.75,3.4,2.55,2.75,3.45,2.55,2.72,3.4,2.57,2.7,3.4,2.55,False
27.10.2024_Union Berlin_Eintracht Frankfurt_1_1,27.10.2024,Union Berlin,Eintracht Frankfurt,1,1,2.45,3.23,2.98,2.45,3.3,2.87,2.45,3.15,3.1,2.47,3.15,3.05,2.4,3.3,3.0,False
27.10.2024_Bochum_Bayern Munich_0_5,27.10.2024,Bochum,Bayern Munich,0,5,15.4,8.78,1.14,11.0,9.5,1.13,17.0,9.5,1.13,19.5,7.7,1.15,14.5,9.0,1.16,False
26.10.2024_Werder Bremen_Bayer Leverkusen_2_2,26.10.2024,Werder Bremen,Bayer Leverkusen,2,2,6.35,5.06,1.43,6.0,5.25,1.41,6.5,5.25,1.43,6.5,4.85,1.45,6.25,5.0,1.43,False
26.10.2024_Augsburg_Dortmund_2_1,26.10.2024,Augsburg,Dortmund,2,1,4.01,4.02,1.79,4.0,4.0,1.77,4.1,4.1,1.8,4.05,3.95,1.82,3.9,4.0,1.8,False
